goal_reached,episode_score,num_training_steps,action_space,algorithm
True,32.18345651405202,188,continuous,PPO
True,-331.95532555515126,1787,continuous,PPO
True,210.2335149918204,136,continuous,PPO
True,8.130462885973856,136,continuous,PPO
True,217.9590106638039,144,continuous,PPO
True,59.70021919213582,164,continuous,PPO
True,50.54034491931854,222,continuous,PPO
True,218.5853726151774,140,continuous,PPO
True,74.7030542353466,298,continuous,PPO
False,-384.19149562558454,2001,continuous,PPO
True,37.29612218850741,191,continuous,PPO
True,201.47082175437316,92,continuous,PPO
True,234.43358087165979,182,continuous,PPO
True,189.851896224251,105,continuous,PPO
True,78.59119659135798,157,continuous,PPO
True,189.8496923511014,101,continuous,PPO
True,7.540501003959924,44,continuous,PPO
True,8.343754026399854,52,continuous,PPO
True,214.46166608522634,135,continuous,PPO
True,201.59225449925708,91,continuous,PPO
True,201.88043614846373,92,continuous,PPO
True,222.70898085126134,131,continuous,PPO
True,201.7103851292415,93,continuous,PPO
True,22.993193332887603,225,continuous,PPO
True,8.204291671818844,45,continuous,PPO
True,8.220422268252996,39,continuous,PPO
True,177.92846613362147,60,continuous,PPO
True,190.03665878824427,96,continuous,PPO
True,190.04943364542493,97,continuous,PPO
True,230.1179550091445,179,continuous,PPO
False,-480.4919525087402,2001,continuous,PPO
True,40.12383524755867,263,continuous,PPO
True,189.96376005900748,99,continuous,PPO
True,2.199587446669425,280,continuous,PPO
True,48.318333603590965,130,continuous,PPO
True,37.17829526096105,181,continuous,PPO
True,55.586990007739075,500,continuous,PPO
True,205.4458929086698,93,continuous,PPO
True,8.308858150267966,39,continuous,PPO
True,-8.07927128635324,117,continuous,PPO
True,189.85563224890126,92,continuous,PPO
True,201.71782159263194,94,continuous,PPO
True,33.73919172838778,105,continuous,PPO
True,173.78529650115883,60,continuous,PPO
True,22.781272958420473,128,continuous,PPO
True,189.9915510914388,99,continuous,PPO
True,36.97979864904639,153,continuous,PPO
True,201.57860187664144,90,continuous,PPO
True,78.104497072155,259,continuous,PPO
False,-459.5224122034188,2001,continuous,PPO
True,53.75356744750926,120,continuous,PPO
True,36.48458801947599,193,continuous,PPO
True,90.66248953660434,196,continuous,PPO
True,229.42248855138604,120,continuous,PPO
True,214.4162410087233,139,continuous,PPO
True,189.82190832910075,96,continuous,PPO
True,230.33914170505855,182,continuous,PPO
True,8.43018600066636,42,continuous,PPO
True,173.7932687821862,59,continuous,PPO
True,234.56390184548906,189,continuous,PPO
True,201.5447933735465,93,continuous,PPO
True,7.802674414639086,42,continuous,PPO
True,67.8986479277126,227,continuous,PPO
True,73.02888202839756,160,continuous,PPO
True,59.42640035105908,127,continuous,PPO
True,37.817772006193266,195,continuous,PPO
True,29.20359853271812,311,continuous,PPO
True,10.579458800629228,94,continuous,PPO
True,-45.23283664572344,267,continuous,PPO
True,190.24563388998533,101,continuous,PPO
True,48.05751339468631,113,continuous,PPO
True,214.10398181046114,140,continuous,PPO
True,8.654314292961567,40,continuous,PPO
True,7.243633465861497,51,continuous,PPO
True,177.76277169044303,60,continuous,PPO
True,6.291758969163399,50,continuous,PPO
True,48.77074012497855,225,continuous,PPO
True,201.50866922017357,93,continuous,PPO
True,229.61632232618751,122,continuous,PPO
True,-9.443905981052586,123,continuous,PPO
